tconst,Revenue,Budget,Production_Company
tt9772374,"$72,147",,Entertainment Squad
tt8774798,"$9,766,489",,Viva Pictures
tt7435316,"$30,940",,Roadside Attractions
tt8945942,"$31,808",,IFC Films
tt7737786,"$52,300,000",,STX Entertainment
tt9620292,"$18,854,166",,Focus Features
tt9614460,"$6,532,100",,FIP
tt7713068,"$205,372,791","$84,500,000",Warner Bros.
tt7711170,"$642,502",,Magnolia Pictures
tt7703924,"$429,148",,Vertical Entertainment
tt8884906,"$30,932",,IFC Films
tt7798646,"$20,690,779","$16,000,000",Universal Pictures
tt7772582,"$299,588",,Focus Features
tt3794354,"$319,715,683","$85,000,000",Paramount Pictures
tt8829830,"$7,031,289",,Lions Gate Films
tt7873348,"$301,162",,Bleecker Street Media
tt8928230,"$4,625,869",,Lions Gate Films
tt8850222,"$42,698,327",,Well Go USA Entertainment
tt7870102,"$20,322",,Vertical Entertainment
tt8004664,"$13,182,254",,Focus Features
tt5259822,"$459,051",,IFC Films
tt8045906,"$3,151,849",,Roadside Attractions
tt8980602,"$367,890",,Stage 6 Films
tt9484998,"$1,512,871",,Neon
tt7335600,"$46,855",,Well Go USA Entertainment
tt8709338,"$69,746",,Roadside Attractions
tt9441638,"$515,399",,Vertical Entertainment
tt9779516,"$16,069,730","$12,000,000",Lions Gate Films
tt8983166,"$4,886,124",,FIP
tt8042004,"$15,427",,Indican Pictures
tt7294150,"$461,421,559",,CMC Pictures
tt9467994,"$150,901",,Sony Pictures Classics
tt2948372,"$121,977,458",,Walt Disney Studios Motion Pictures
tt7978672,"$1,123,693",,Screen Media Films
tt9507234,"$17,361,009",,Fathom Events
tt7178640,"$4,400,000",,Warner Bros.
tt7983894,"$1,109,287",,Neon
tt9421200,"$7,113",,Brainstorm Media
tt8760280,"$3,326,885",,Roadside Attractions
tt7179594,"$6,976",,Freestyle Releasing
tt8976664,"$6,292,780",,Pantelion Films
tt8923482,"$271,841",,Amazon Studios
tt9099136,"$30,444",,Kino Lorber
tt4913966,"$123,233,739","$9,000,000",Warner Bros.
tt11044122,"$222,971",,Fathom Events
tt9016974,"$1,483,731",,Well Go USA Entertainment
tt9129296,"$695,327",,Magnolia Pictures
tt10904418,"$3,412,771",,Well Go USA Entertainment
tt11091530,"$31,177,968",,CMC Pictures
tt11177112,"$15,642,991",,CJ Entertainment
tt1780967,"$655,178",,Amazon Studios
tt9097270,"$14,938",,Magnolia Pictures
tt8923500,"$50,336",,Oscilloscope
tt9016016,"$59,257",,Oscilloscope
tt9106672,"$8,541,775",,Greenwich Entertainment
tt9105014,"$618,324",,Yash Raj Films
tt4916630,"$50,901,502","$25,000,000",Warner Bros.
tt9116358,"$9,869,306",,GKIDS
tt8908002,"$14,256,199",,Viva Pictures
tt9000224,"$1,338,881",,Bleecker Street Media
tt9099800,"$1,289,813",,Madman Entertainment
tt4807408,"$10,209,813","$10,000,000",STX Entertainment
tt8902990,"$1,088,641",,Gravitas Ventures
tt8991268,"$5,321,053",,Neon
tt11062388,"$272,874",,Trafalgar Releasing
tt5033998,"$73,279,888","$48,000,000",Sony Pictures Releasing
tt0493395,"$25,309",,ArcAngelo Entertainment Inc
tt4975920,"$1,561,698",,Lions Gate Films
tt8974964,"$37,272",,Screen Media Films
tt11107074,"$29,971,229",,FUNimation Entertainment
tt8972256,"$1,460,431",,Sony Pictures Classics
tt8963708,"$621,446",,Music Box Films
tt8964214,"$29,450",,IFC Films
tt8971476,"$7,505,141",,CMC Pictures
tt8973144,"$49,693",,Independen
tt9056192,"$200,909",,Film Movement
tt9052870,"$3,311,391",,FIP
tt9031484,"$67,508",,Utopia
tt9024106,"$21,585,326","$6,000,000",Pure Flix Entertainment
tt10954574,"$529,285",,Fathom Events
tt8941056,"$214,835",,Distrib Films
tt9018916,"$7,883,200",,Well Go USA Entertainment
tt9082020,"$1,009,888",,Screen Media Films
tt9075778,"$954,641",,Purdie Distribution
tt4844140,"$471,152",,IFC Films
tt5013984,"$22,517",,Vertical Entertainment
tt8951692,"$4,890,505",,Bleecker Street Media
tt8946378,"$312,897,920","$40,000,000",Lions Gate Films
tt9071322,"$23,108,017",,Focus Features
tt11023922,"$2,531,785",,Trafalgar Releasing
tt8948790,"$204,669",,Yash Raj Films USA Inc.
tt11029976,"$8,140",,Sky Island Films
tt9133378,"$23,071",,IFC Films
tt2066051,"$195,320,400","$40,000,000",Paramount Pictures
tt10515852,"$24,012",,Fathom Events
tt9495690,"$5,633,633",,Eros Worldwide
tt9507276,"$288,460",,Fathom Events
tt4199898,"$16,383,278",,STX Entertainment
tt10481868,"$18,529,730","$5,000,000",Universal Pictures
tt2076298,"$176,345,966",,Well Go USA Entertainment
tt9487594,"$11,596,997",,Entertainment One
tt9489598,"$569,069",,Sony Pictures Releasing
tt10471420,"$960,073",,Trafalgar Releasing
tt9134216,"$69,412,425","$29,900,000",Paramount Pictures
tt10564446,"$23,414,998",,China Lion Film Distribution
tt10550884,"$11,799,556",,Well Go USA Entertainment
tt10572668,"$6,180,032",,Freestyle Releasing
tt4426464,"$10,445,192",,Entertainment Studios Motion Pictures
tt10584272,"$16,382,542",,Well Go USA Entertainment
tt10583170,"$2,058,974",,Big World Pictures
tt10579992,"$130,897",,Magnolia Pictures
tt4329810,"$101,346",,Fathom Events
tt9426210,"$192,927,909",,GKIDS
tt9430698,"$81,574,810",,FUNimation Entertainment
tt10521814,"$359,377",,Abramorama
tt10545076,"$12,077,774",,Trafalgar Releasing
tt4364194,"$133,031,473","$6,200,000",Roadside Attractions
tt9412268,"$5,756,185",,Well Go USA Entertainment
tt4354756,"$8,101",,Epic Picture
tt4353250,"$4,637,830",,A24
tt10536646,"$82,733",,Kino Lorber
tt3864056,"$10,032,621","$45,000,000",Warner Bros.
tt3861390,"$353,284,621","$170,000,000",Walt Disney Studios Motion Pictures
tt9608818,"$795,506",,Gravitas Ventures
tt9612680,"$5,834",,Greenwich Entertainment
tt9600932,"$106,057",,Magnolia Pictures
tt2139881,"$53,873,809","$40,000,000",Lions Gate Films
tt9586294,"$225,918,798",,Well Go USA Entertainment
tt10383464,"$264,983",,Trafalgar Releasing
tt9617456,"$1,397,546",,PBS Distribution
tt9617570,"$87,984",,Dada Films
tt9617582,"$208,907",,Fathom Events
tt9617716,"$748,539",,Gunpowder & Sky
tt3856408,"$63,998",,Matson Films
tt9614440,"$57,188",,Utopia
tt3833480,"$2,327,336",,Fathom Events
tt4169146,"$624,818",,Music Box Films
tt4154796,"$2,799,439,100","$356,000,000",Walt Disney Studios Motion Pictures
tt4154664,"$1,131,416,446","$160,000,000",Walt Disney Studios Motion Pictures
tt4153828,"$4,377,358",,Shout! Factory
tt10443252,"$86,858",,Citadel Film Group
tt4193072,"$70,632",,IFC Films
tt10442108,"$3,238,076",,Fathom Events
tt9567718,"$166,575",,Icarus Films
tt3984356,"$125,603",,Vertical Entertainment
tt9541602,"$119,932,733",,CJ Entertainment
tt4126476,"$69,497,587","$14,000,000",Aviron Pictures
tt10409498,"$903,797",,Cohen Media Group
tt9563632,"$592,866",,Eleven Arts
tt4669252,"$39,163",,Romulus Entertainmen
tt10793644,"$1,378,493",,IFC Films
tt9203190,"$24,444,590",,Screen Media Films
tt9204204,"$208,821",,Magnolia Pictures
tt4669974,"$19,873",,Gravitas Ventures
tt9193612,"$4,048,748",,Fathom Events
tt4682804,"$481,707",,Fox Searchligh
tt9185066,"$6,596",,Vertical Entertainment
tt9185316,"$384,551",,Quiver Distribution
tt9185816,"$84,440",,PBS Distribution
tt9248934,"$5,820,117",,Eros Worldwide
tt9248972,"$5,667,057",,FIP
tt4648786,"$43,347,017","$17,000,000",Focus Features
tt9239552,"$5,078,942",,Fathom Events
tt9231040,"$1,386,609",,A24
tt10738914,"$16,610,713",,Swen Releasin
tt4777008,"$491,730,089","$185,000,000",Walt Disney Studios Motion Pictures
tt9135260,"$120,818",,Vertical Entertainment
tt10892766,"$248,514",,Fathom Events
tt9135318,"$33,823",,Abramorama
tt10890044,"$42,812",,Sony Pictures Classics
tt10885994,"$294,677",,Trafalgar Releasing
tt9172422,"$14,384,206",,101 Studios
tt9173264,"$2,943,278",,Music Box Films
tt10844816,"$18,759",,Magnolia Pictures
tt1833116,"$2,927,708",,Vertical Entertainment
tt10627720,"$726,264,074",,Well Go USA Entertainment
tt9354944,"$9,341,824",,Lions Gate Films
tt4520988,"$1,453,683,476","$150,000,000",Walt Disney Studios Motion Pictures
tt10621032,"$7,502,610",,GKIDS
tt9353586,"$318,230",,Magnolia Pictures
tt9353436,"$281,245",,Magnolia Pictures
tt10648440,"$69,501,772",,CJ Entertainment
tt9352780,"$104,965",,Magnolia Pictures
tt9352926,"$78,622",,IFC Films
tt9355194,"$177,306",,Greenwich Entertainment
tt9358256,"$33,884",,Cohen Media Group
tt4463894,"$21,360,215","$35,000,000",Warner Bros.
tt9358246,"$16,942",,Film Movement
tt4504044,"$21,127,789","$6,000,000",Orion Pictures
tt9356952,"$36,856",,A24
tt9358044,"$467,361",,Magnolia Pictures
tt9358160,"$24,808",,Grasshopper Film
tt9358192,"$187,085",,The Orchard
tt9358196,"$3,311,263",,Roadside Attractions
tt1979376,"$1,073,841,394","$200,000,000",Walt Disney Studios Motion Pictures
tt9358206,"$927,495",,Magnolia Pictures
tt10702760,"$8,085,629",,Fathom Events
tt10699362,"$28,704",,IFC Films
tt9285882,"$5,881,391",,Paramount Pictures
tt9288776,"$62,098,770",,GKIDS
tt10703826,"$145,941",,Greenwich Entertainment
tt10657812,"$4,501",,MTV Documentary Films
tt1946502,"$32,450,241","$45,000,000",STX Entertainment
tt1950186,"$225,508,210","$97,600,000",Twentieth Century Fox
tt10687158,"$3,681,681",,Warner Bros.
tt4558200,"$3,868",,Screen Media Films
tt8896632,"$89,532",,3DLive AXO
tt11229780,"$4,051,990",,Cloudburst Entertainment
tt6980960,"$889,863",,Entertainment One
tt6977338,"$111,173,598","$20,000,000",Universal Pictures
tt6976172,"$132,048",,Entertainment One
tt6964076,"$8,083,942",,CBS Films
tt6954136,"$10,606",,Indican Pictures
tt8108164,"$3,531,837",,FIP
tt8108200,"$914,565",,PackYourBag Film
tt6983908,"$3,801",,Passion River Films
tt7016254,"$501,223",,Kino Lorber
tt8103160,"$221,575",,Cohen Media Group
tt6988116,"$17,987,034",,FIP
tt8108206,"$3,239,747",,Reliance Entertainment
tt6871338,"$3,919",,Sumbadhat Productions
tt6862538,"$367,849",,Stage 6 Films
tt1206885,"$91,490,353","$50,000,000",Lions Gate Films
tt6857112,"$256,067,149","$20,000,000",Universal Pictures
tt6852534,"$110,571",,Magnet Releasing
tt6890618,"$155,732",,CJ Entertainment
tt6924650,"$127,420,861","$100,000,000",Lions Gate Films
tt6920356,"$1,777,486",,A24
tt6916348,"$202,142",,Roadside Attractions
tt7131622,"$377,617,598","$90,000,000",Sony Pictures Releasing
tt7128732,"$121,813",,Film Movement
tt7193362,"$1,243,067",,Sony Pictures Classics
tt8054066,"$302,591",,Cohen Media Group
tt8054608,"$347,113",,1844 Entertainment
tt8058874,"$190,760",,Saban Films
tt7178226,"$288,764",,National Geographic Entertainment
tt7059844,"$14,784,628",,Yash Raj Films
tt8085790,"$49,000,667","$20,000,000",Universal Pictures
tt7054636,"$74,747,725","$20,000,000",Lions Gate Films
tt8091892,"$17,296,294",,Fathom Events
tt8079248,"$154,608,856","$26,000,000",Universal Pictures
tt8080302,"$7,699,452",,Walt Disney Studios Motion Pictures
tt7083526,"$50,444,358","$14,000,000",Twentieth Century Fox
tt7078658,"$552,033",,IFC Films
tt7070818,"$853,898",,Paramount Pictures
tt6565702,"$252,442,974","$200,000,000",Twentieth Century Fox
tt6838918,"$86,741",,Grindstone Entertainmen
tt6643972,"$345,900",,Well Go USA Entertainment
tt8202692,"$5,016",,Indican Pictures
tt8228884,"$252,293",,Urban Movie Channe
tt8239806,"$189,396,380",,CMC Picture
tt6450804,"$261,119,292","$185,000,000",Paramount Pictures
tt6439020,"$14,399,270",,Searchlight Pictures
tt6428676,"$119,559,110","$90,000,000",Paramount Pictures
tt6423362,"$6,750,029",,Warner Bros.
tt8255890,"$782,442",,Vertical Entertainment
tt8258074,"$1,877,675",,Area 23a
tt8241872,"$56,860",,Grasshopper Film
tt6472976,"$92,559,910","$7,000,000",Lions Gate Films
tt8233874,"$223,898",,Good Deed Entertainment
tt6521876,"$4,691,248",,Saban Films
tt6515910,"$129,603",,eOne Entertainmen
tt6513120,"$41,503,392","$11,000,000",Metro-Goldwyn-Mayer (MGM)
tt6511932,"$4,554,416",,Neon
tt6476140,"$14,454,622",,Aviron Pictures
tt8193790,"$1,686,700",,Greenwich Entertainment
tt8144834,"$129,916",,Reliance Big Pictures
tt8147262,"$74,432",,ArtMattan Productions
tt8151874,"$3,400,977",,Amazon Studios
tt8155288,"$64,600,152","$9,000,000",Universal Pictures
tt6803212,"$5,288,011","$5,000,000",OTL Releasin
tt6806448,"$760,732,926","$200,000,000",Universal Pictures
tt6836936,"$5,708,522",,Yash Raj Films
tt8130904,"$159,317",,Eros Worldwide
tt8130968,"$18,502,646",,Reliance Big Pictures
tt6823368,"$246,999,039","$20,000,000",Universal Pictures
tt8134742,"$2,295,825",,Saban Films
tt6817944,"$434,977",,Magnolia Pictures
tt6811018,"$32,140,970",,Twentieth Century Fox
tt8186318,"$38,026,103","$5,000,000",Affirm Films
tt6688324,"$2,086,431",,Viva Pictures
tt6751668,"$262,716,749","$11,400,000",Neon
tt6735740,"$1,450,300",,Archway Pictures
tt8174450,"$1,807,216",,ArtAffects Entertainment
tt8176040,"$3,349,899",,Reliance Entertainment
tt6722030,"$36,599,361","$8,000,000",Screen Gems
tt11229886,"$5,257,431",,Trafalgar Releasing
tt7587876,"$1,254,346",,Roadside Attractions
tt7587282,"$61,744",,Momentum Pictures
tt7902124,"$29,251",,Strand Releasing
tt7605074,"$699,992,512",,CMC Picture
tt7616798,"$80,708,134","$18,000,000",Sony Pictures Releasing
tt7616148,"$2,268,204",,Neon
tt7584456,"$10,368",,Indican Pictures
tt1298644,"$97,409,779","$21,000,000",United Artists Releasing
tt7531096,"$1,428,654",,Viva Pictures
tt1302006,"$968,853",,Netflix
tt7524414,"$319,595",,Music Box Films
tt7547410,"$120,597,108","$49,000,000",Paramount Pictures
tt7549996,"$45,987,812",,Roadside Attractions
tt7921248,"$809,445",,Magnolia Pictures
tt7557108,"$1,383,868",,A24
tt7552686,"$3,258,051",,Cohen Media Group
tt7634968,"$72,216,294","$20,000,000",Paramount Pictures
tt7752126,"$33,224,654","$6,000,000",Screen Gems
tt7737734,"$7,385",,IFC Films
tt7736478,"$8,860,587",,Sony Pictures Classics
tt7734990,"$4,898",,Entertainment One
tt7734218,"$32,390,945","$16,000,000",Twentieth Century Fox
tt7725384,"$60,751",,Tricycle Logic
tt7721946,"$4,634,173",,FIP
tt7721800,"$35,261,263",,Viva Pictures
tt7802246,"$228,676",,ArtMattan Productions
tt7798634,"$57,615,777","$6,000,000",Fox Searchligh
tt7778680,"$996,171",,Amazon Studios
tt7772498,"$165,627",,Fathom Events
tt7760890,"$14,078",,The Cinema Guild
tt7670212,"$604,479",,Strand Releasing
tt7639372,"$26,911,995",,FIP
tt7710486,"$114,301",,eOne Entertainmen
tt7698468,"$786,484",,IFC Films
tt7671064,"$7,442,106",,Amazon Studios
tt8000908,"$23,425",,Fathom Events
tt7313348,"$172,952",,1091 Pictures
tt0783640,"$3,364,426",,Roadside Attractions
tt7990992,"$7,768",,KimSti
tt7349950,"$473,122,525","$79,000,000",Warner Bros.
tt7347846,"$3,155,858",,Neon
tt7339248,"$2,414,269",,Bleecker Street Media
tt7329656,"$47,582,563","$12,000,000",Entertainment Studios Motion Pictures
tt7255568,"$1,635,907",,FIP
tt7286456,"$1,078,958,282","$55,000,000",Warner Bros.
tt8019694,"$725,642",,Sony Pictures Classics
tt7985692,"$2,790,019",,Sony Pictures Classics
tt7456310,"$31,626,978",,Lions Gate Films
tt7958736,"$61,220,856","$5,000,000",Universal Pictures
tt7430722,"$67,179,155","$21,000,000",Yash Raj Films
tt7463730,"$4,033,587",,Viva Pictures
tt7485048,"$24,701,637",,Reliance Big Pictures
tt7390646,"$22,741,061","$12,000,000",Screen Gems
tt7390588,"$425,155",,Neon
tt7979668,"$11,888",,Indican Pictures
tt7370952,"$1,067,629",,Forrest Film
tt7983890,"$80,657",,Oscilloscope
tt7984734,"$18,129,854",,A24
tt7975244,"$801,693,929","$125,000,000",Sony Pictures Releasing
tt7422822,"$76,045",,IFC Films
tt7420342,"$619,855",,Blue Fox Entertainment
tt8262686,"$5,938",,Indican Pictures
tt8652728,"$2,576,990",,A24
tt8659948,"$7,733,048",,FUNimation Entertainment
tt8663516,"$44,907,074","$10,000,000",United Artists Releasing
tt8650976,"$10,017",,Indican Pictures
tt5433114,"$2,798,565",,Home Box Office (HBO)
tt5431890,"$10,088,753",,IFC Films
tt8637428,"$23,076,657",,A24
tt8637440,"$711,639",,Sony Pictures Classics
tt8647310,"$29,118",,Magnolia Pictures
tt8647400,"$1,473,116",,Yash Raj Films
tt8649186,"$9,943,901",,Film Movement
tt8706884,"$97,204",,PackYourBag Film
tt8710596,"$3,688",,Vertical Entertainment
tt8722346,"$47,834,125","$18,000,000",Universal Pictures
tt8695030,"$15,325,468",,Focus Features
tt5294522,"$320,814",,Vertical Entertainment
tt8688634,"$49,939,757","$33,000,000",STX Entertainment
tt5598292,"$1,772,204",,Dimension Film
tt8550208,"$6,111,065",,Eros Worldwide
tt5606664,"$72,381,712","$45,000,000",Warner Bros.
tt5668770,"$8,680,109","$2,800,000",Yash Raj Films
tt8574836,"$367,788",,Magnolia Pictures
tt1560220,"$122,810,399","$42,000,000",Sony Pictures Releasing
tt8613070,"$10,019,521",,Neon
tt8623904,"$123,446,172","$25,000,000",Universal Pictures
tt5577494,"$364,952",,Neon
tt8579674,"$384,579,982","$95,000,000",Universal Pictures
tt5563334,"$33,856,058","$10,000,000",Warner Bros.
tt5503686,"$157,563,598","$20,000,000",STX Entertainment
tt11285908,"$61,354,854",,Capelight Pictures
tt1650060,"$4,405",,Cinedigm Entertainment Group
tt5113040,"$431,164,459","$80,000,000",Universal Pictures
tt5105734,"$304,840",,Greenwich Entertainment
tt8816194,"$117,947",,Saban Films
tt5092484,"$137,260",,Vital Pictures
tt8855960,"$16,080",,Strand Releasing
tt8856090,"$151,507",,1091 Pictures
tt1667354,"$659,535",,IFC Films
tt5073642,"$1,023,510",,RLJE Films
tt8863066,"$55,632",,Zeitgeist Films
tt8869978,"$13,098,981",,Viva Pictures
tt8870902,"$522,179",,Fathom Events
tt1657517,"$1,141,187",,Sony Pictures Classics
tt8760684,"$15,342,353",,Neon
tt8740778,"$2,298,525",,Music Box Films
tt1604560,"$50,400",,Nocturnal Features
tt11321574,"$475,465",,Trafalgar Releasing
tt8800266,"$371,005",,Music Box Films
tt5125894,"$16,418,218",,STX Entertainment
tt8767908,"$1,866,680",,Entertainment One
tt1620981,"$204,394,183","$24,000,000",United Artists Releasing
tt8769848,"$354,103",,Bleecker Street Media
tt8772262,"$48,059,189","$9,000,000",A24
tt11349958,"$1,073,969",,eOne Entertainmen
tt5697572,"$75,558,925","$95,000,000",Universal Pictures
tt6189022,"$146,661,977","$40,000,000",Lions Gate Films
tt8342680,"$711,691",,Sony Pictures Classics
tt8350360,"$231,252,591","$30,000,000",Warner Bros.
tt6156498,"$1,187,280",,Spanglish Movies
tt8333746,"$23,841,090",,Roadside Attractions
tt8337320,"$884,710",,TriStar Pictures
tt6198946,"$3,373,474",,A24
tt8364368,"$91,542,097","$13,500,000",Paramount Pictures
tt6107548,"$22,386,555",,Amazon Studios
tt6105774,"$408,747",,Fathom Events
tt6105098,"$1,663,075,401","$260,000,000",Walt Disney Studios Motion Pictures
tt6095472,"$147,792,047","$65,000,000",Sony Pictures Releasing
tt8367814,"$115,171,795","$22,000,000",STX Entertainment
tt1478839,"$33,766,787","$18,000,000",Twentieth Century Fox
tt8363914,"$1,291,514",,Atlas Distribution Company
tt6146586,"$328,349,387","$75,000,000",Lions Gate Films
tt6141246,"$3,485,251",,Amazon Studios
tt6139732,"$1,054,304,000","$183,000,000",Walt Disney Studios Motion Pictures
tt8359822,"$1,522,606",,Kino Lorber
tt6390668,"$1,776,017",,Amazon Studios
tt6356220,"$254,475",,Five & Two Pictures
tt6348138,"$26,565,710",,United Artists Releasing
tt8291224,"$39,346,577",,PackYourBag Film
tt8291806,"$37,359,689",,Sony Pictures Classics
tt6398184,"$194,694,725","$13,000,000",Focus Features
tt6394270,"$61,404,394","$32,000,000",Lions Gate Films
tt8266310,"$18,601,145",,Warner Bros.
tt6290584,"$60,468",,Blue Fox Entertainment
tt8323104,"$623,088",,Warner Bros.
tt8323120,"$5,262,850",,IFC Films
tt6256978,"$145,625",,IFC Films
tt8304386,"$289,631",,FIP
tt8305806,"$4,369,493",,IFC Films
tt8310924,"$210,091",,ArtAffects Entertainment
tt8311958,"$39,920",,Outsider Pictures
tt6324278,"$190,304,772","$75,000,000",Universal Pictures
tt6320628,"$1,131,927,996","$160,000,000",Sony Pictures Releasing
tt5827916,"$4,622,354",,Fox Searchligh
tt5822564,"$15,980,032","$38,000,000",Warner Bros.
tt5814534,"$171,616,764","$100,000,000",Twentieth Century Fox
tt5807330,"$36,527",,Gravitas Ventures
tt5888002,"$8,812",,Film Movement
tt5886046,"$155,712,077","$9,000,000",Sony Pictures Releasing
tt5884052,"$450,062,638","$150,000,000",Warner Bros.
tt5884004,"$732,793",,Sony Pictures Classics
tt5806558,"$27,097",,Strand Releasing
tt5805768,"$28,657",,Blue Fox Entertainment
tt5727208,"$50,023,780","$19,000,000",A24
tt5719748,"$76,419,755","$60,000,000",Lions Gate Films
tt5699928,"$82,258",,Cinedigm Entertainment Group
tt8484012,"$323,369",,IFC Films
tt8484942,"$1,715,851",,FIP
tt6032704,"$175,038",,Vertical Entertainment
tt6051260,"$199,356",,Vertical Entertainment
tt8372298,"$274,674",,IFC Films
tt6063090,"$1,392,898",,Saban Films
tt6062774,"$1,929,915",,Neon
tt8385474,"$78,871,079","$16,000,000",Universal Pictures
tt6012380,"$774,877",,Bleecker Street Media
tt0385887,"$18,577,736","$26,000,000",Warner Bros.
tt5941692,"$15,383,580","$15,000,000",Sony Pictures Releasing
tt5938950,"$1,082,456",,Fathom Events
tt5932728,"$5,098,627",,Vertical Entertainment
tt5919756,"$25,084",,IFC Films
tt5952594,"$6,405,816",,Focus Features
tt6010976,"$51,712",,1091 Pictures
tt1489887,"$24,959,607","$6,000,000",United Artists Releasing
tt8399664,"$1,146,327",,IFC Films
tt5977276,"$9,215,591",,Fox Searchligh
tt5974030,"$64,648",,Variance Films
tt5968394,"$8,808,611",,Focus Features
tt2386490,"$524,580,592","$129,000,000",Universal Pictures
tt10199640,"$1,591,621",,Kino Lorber
tt10199590,"$54,606,372",,Amazon Studios
tt9828254,"$6,136",,Indican Pictures
tt3361792,"$9,090,040",,Fox Searchligh
tt9825006,"$119,894",,Entertainment One
tt9761064,"$9,163",,Grasshopper Film
tt10080270,"$425,332",,Pantelion Films
tt2935510,"$127,461,872","$90,000,000",Twentieth Century Fox
tt2274648,"$55,065,289","$50,000,000",Lions Gate Films
tt10140002,"$2,166,029",,Fathom Events
tt2395469,"$28,299,498",,Viva Pictures
tt2527338,"$1,077,022,372","$275,000,000",Walt Disney Studios Motion Pictures
tt10295602,"$99,482,027",,Well Go USA Entertainment
tt3340446,"$4,413,225",,Good Deed Entertainment
tt2275629,"$300,842",,Round Hill Media
tt10195452,"$282,332",,Vertical Entertainment
tt3541524,"$646,389",,Saban Films
tt10215424,"$477,009",,Screen Media Films
tt9748230,"$808,831",,Trafalgar Releasing
tt2283336,"$253,890,701","$110,000,000",Sony Pictures Releasing
tt0448115,"$367,799,011","$100,000,000",Warner Bros.
tt3387520,"$104,545,505","$25,000,000",Lions Gate Films
tt10068158,"$135,821",,Fathom Events
tt3224458,"$67,925,733","$25,000,000",Sony Pictures Releasing
tt10208198,"$25,775,371",,Well Go USA Entertainment
tt9647768,"$31,064,835",,Film Movement
tt3602422,"$38,901",,Indican Pictures
tt9787524,"$8,643",,Abramorama
tt3009772,"$22,594",,IFC Films
tt9635616,"$156,892,866",,Well Go USA Entertainment
tt2452244,"$48,791,187","$31,000,000",Warner Bros.
tt9850064,"$5,173,840",,Fathom Events
tt9784518,"$3,266,031",,Blue Fox Entertainment
tt9845398,"$103,047",,The Cinema Guild
tt9629026,"$18,653,040",,STX Entertainment
tt10155342,"$1,671,969",,Entertainment One
tt10088006,"$284,229",,Trafalgar Releasing
tt9845110,"$344,300",,Magnolia Pictures
tt3281548,"$218,843,645","$40,000,000",Sony Pictures Releasing
tt10334456,"$536,534",,Magnolia Pictures
tt10160742,"$1,481,910",,Fathom Events
tt10159942,"$160,968",,Fathom Events
tt10146728,"$9,966",,Kicking + Screening Media Group
tt10147382,"$450,064,993",,CMC Picture
tt0437086,"$404,980,543","$170,000,000",Twentieth Century Fox
tt10299528,"$4,726",,Indican Pictures
tt9801736,"$637,999",,Film Movement
tt10175340,"$1,035,603",,Fathom Events
tt9844368,"$265,279",,Purdie Distribution
tt10011336,"$185,080",,Good Deed Entertainment
tt10011296,"$90,654",,Music Box Films
tt0837563,"$113,118,226","$21,000,000",Paramount Pictures
tt10279010,"$45,738,461",,Well Go USA Entertainment
tt10272534,"$323,829",,Yellow Veil Pictures
tt2789014,"$5,152",,Indican Pictures
tt10287376,"$47,037",,Oscilloscope
tt10122392,"$143,159",,Greenwich Entertainment
tt10011448,"$4,252,657",,Greenwich Entertainment
tt2762506,"$3,554,178",,Kino Lorber
tt10003978,"$558,816",,Roadside Attractions
tt10218674,"$245,179,562",,Sony Pictures Releasing
tt3741700,"$387,300,138","$170,000,000",Warner Bros.
tt2365580,"$11,025,353",,United Artists Releasing
tt9680136,"$6,712,525",,Eros Worldwide
tt10121372,"$1,294,480",,Trafalgar Releasing
tt1025100,"$173,469,516","$138,000,000",Paramount Pictures
tt10039344,"$48,021,766","$6,500,000",STX Entertainment
tt10276114,"$13,294",,Atlas Distribution Company
tt10026172,"$875,191",,Trafalgar Releasing
tt2584384,"$93,553,698","$14,000,000",Fox Searchligh
tt10228168,"$5,848,555",,Well Go USA Entertainment
tt10017680,"$117,991,727",,CMC Picture
tt10122042,"$1,188,936",,Fathom Events
tt9896916,"$3,202,913",,Fathom Events
tt10218664,"$417,282,021",,Well Go USA Entertainment
tt3513548,"$44,645,542","$45,000,000",Warner Bros.
tt3513498,"$199,603,202","$99,000,000",Warner Bros.
tt5726086,"$167,885,588","$10,000,000",Universal Pictures
tt8510206,"$135,191",,Strand Releasing
tt5715828,"$24,554",,Cohen Media Group
tt5734576,"$43,016,528","$7,700,000",Screen Gems
tt5755280,"$58,177",,Indican Pictures
tt6155172,"$1,140,769",,Netflix
tt8489090,"$10,373,129",,China Lion Film Distribution
tt5758778,"$304,868,961","$125,000,000",Universal Pictures
tt5749596,"$132,015",,Kino Lorber
tt5773986,"$239,777",,Zeitgeist Films
tt5740866,"$4,605,123",,Roadside Attractions
tt5690810,"$338,940",,IFC Films
tt5644050,"$763,688",,IFC Films
tt8549902,"$19,129,015",,China Lion Film Distribution
tt6183104,"$251,917",,Smith Global Medi
tt6182908,"$218,015,531",,Warner Bros.
tt5664636,"$93,320,380","$35,000,000",Sony Pictures Releasing
tt5639898,"$5,007",,Vertical Entertainment
tt5619332,"$65,659,911",,Warner Bros.
tt5607096,"$4,511,157",,Roadside Attractions
tt5610554,"$15,636,462",,Focus Features
tt5613484,"$9,303,022",,A24
tt6195094,"$5,620,406",,Vertical Entertainment
tt5639446,"$41,558",,Well Go USA Entertainment
tt5630752,"$3,550",,Parade Deck Films
tt5670152,"$9,515,914",,Lions Gate Films
